Company Name,tradingsymbol,exchange_token
CG Power and Industrial Solutions Limited,CGPOWER,760
Chalet Hotels Limited,CHALET,8546
Chambal Fertilisers and Chemicals Limited,CHAMBLFERT,637
Chennai Petroleum Corporation Limited,CHENNPETRO,2049
Cheviot Company Limited,CHEVIOT,9879
Choice International Limited,CHOICEIN,8866
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,685
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,21740
CIE Automotive India Limited,CIEINDIA,14937
Cipla Limited,CIPLA,694
Clean Science and Technology Limited,CLEAN,5049
Creative Newtech Limited,CNL,11155
Coal India Limited,COALINDIA,20374
Cochin Shipyard Limited,COCHINSHIP,21508
Coforge Limited,COFORGE,11543
Colgate-Palmolive (India) Limited,COLPAL,15141
Container Corporation of India Limited,CONCOR,4749
Concord Biotech Limited,CONCORDBIO,18060
Control Print Limited,CONTROLPR,17477
Coromandel International Limited,COROMANDEL,739
Cosmo First Limited,COSMOFIRST,742
Craftsman Automation Limited,CRAFTSMAN,2854
CreditAccess Grameen Limited,CREDITACC,4421
CRISIL Limited,CRISIL,757
Cummins India Limited,CUMMINSIND,1901
Cyient Limited,CYIENT,5748
Dabur India Limited,DABUR,772
Dalmia Bharat Limited,DALBHARAT,8075
Datamatics Global Services Limited,DATAMATICS,11423
Data Patterns (India) Limited,DATAPATTNS,7358
Dilip Buildcon Limited,DBL,18086
DCM Shriram Limited,DCMSHRIRAM,811
Deccan Cements Limited,DECCANCE,14838
Deepak Fertilisers And Petrochemicals Corporation Limited,DEEPAKFERT,827
Delhivery Limited,DELHIVERY,9599
De Nora India Limited,DENORA,4279
Dhanuka Agritech Limited,DHANUKA,24409
Dhunseri Investments Limited,DHUNINV,22233
Prataap Snacks Limited,DIAMONDYD,21840
DIC India Limited,DICIND,703
Divgi TorqTransfer Systems Limited,DIVGIITTS,14479
Divi's Laboratories Limited,DIVISLAB,10940
Dixon Technologies (India) Limited,DIXON,21690
DLF Limited,DLF,14732
D-Link (India) Limited,DLINKINDIA,17851
Avenue Supermarts Limited,DMART,19913
Dodla Dairy Limited,DODLA,4822
DOMS Industries Limited,DOMS,20551
D. P. Abhushan Limited,DPABHUSHAN,936
Dredging Corporation of India Limited,DREDGECORP,11271
Dr. Reddy's Laboratories Limited,DRREDDY,881
Dynacons Systems & Solutions Limited,DSSL,25690
Dynamatic Technologies Limited,DYNAMATECH,4525
eClerx Services Limited,ECLERX,15179
Eicher Motors Limited,EICHERMOT,910
E.I.D.- Parry (India) Limited,EIDPARRY,916
Eimco Elecon (India) Limited,EIMCOELECO,4040
Eldeco Housing and Industries Limited,ELDEHSG,8953
Elecon Engineering Company Limited,ELECON,13643
Electrotherm (India) Limited,ELECTHERM,4469
Elgi Equipments Limited,ELGIEQUIP,937
Emami Limited,EMAMILTD,13517
eMudhra Limited,EMUDHRA,9756
Endurance Technologies Limited,ENDURANCE,18822
Siemens Energy India Limited,ENRIN,756871
Entero Healthcare Solutions Limited,ENTERO,22717
Epigral Limited,EPIGRAL,5382
Eris Lifesciences Limited,ERIS,21154
ESAB India Limited,ESABINDIA,955
Escorts Kubota Limited,ESCORTS,958
Ethos Limited,ETHOSLTD,9750
Eureka Forbes Limited,EUREKAFORB,25162
Everest Industries Limited,EVERESTIND,993
Excel Industries Limited,EXCELINDUS,11471
Expleo Solutions Limited,EXPLEOSOL,17486
The Fertilisers and Chemicals Travancore Limited,FACT,1008
Fairchem Organics Limited,FAIRCHEMOR,1614
Faze Three Limited,FAZE3Q,12006
